Population_density,Agricultural_Land,Land_Area,Armed_Forces_size,Birth_Rate,Co2_Emissions,CPI,CPI_Change,Fertility_Rate,Forested_Area,Gasoline_Price,GDP,GPEM,GTEE,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Minimum_wage,Out_of_pocket_health_expenditure,Physicians_per_thousand,Population,LFPR,Tax_revenue ,tax_rate,Unemployment_rate,Urban_population
119.00,0.52,"643,801.00","307,000.00",11.30,"303,276.00",110.05,0.01,1.88,0.31,1.39,"2,715,518,274,227.00",1.03,0.66,3.40,82.50,8.00,11.16,0.07,3.27,"67,059,887.00",0.55,0.24,0.61,0.08,"54,123,364.00"
9.00,0.20,"267,667.00","7,000.00",31.61,"5,321.00",122.19,0.02,3.97,0.90,0.92,"16,657,960,228.00",1.40,0.08,32.70,66.20,252.00,1.46,0.26,0.68,"2,172,579.00",0.53,0.10,0.47,0.20,"1,949,694.00"
239.00,0.60,"11,300.00","1,000.00",38.54,532.00,172.73,0.07,5.22,0.48,1.18,"1,763,819,048.00",0.98,0.03,39.00,61.70,597.00,0.13,0.20,0.10,"2,347,706.00",0.59,0.09,0.48,0.09,"1,453,958.00"
57.00,0.35,"69,700.00","26,000.00",13.47,"10,128.00",133.61,0.05,2.06,0.41,0.76,"17,743,195,770.00",0.99,0.64,8.70,73.60,25.00,0.05,0.57,7.12,"3,720,382.00",0.68,0.22,0.10,0.14,"2,196,476.00"
240.00,0.48,"357,022.00","180,000.00",9.50,"727,973.00",112.85,0.01,1.56,0.33,1.39,"3,845,630,030,824.00",1.04,0.70,3.10,80.90,7.00,9.99,0.13,4.25,"83,132,799.00",0.61,0.12,0.49,0.03,"64,324,835.00"
137.00,0.69,"238,533.00","16,000.00",29.41,"16,670.00",268.36,0.07,3.87,0.41,0.92,"66,983,634,224.00",1.05,0.16,34.90,63.80,308.00,0.27,0.36,0.14,"30,792,608.00",0.68,0.13,0.55,0.04,"17,249,054.00"
81.00,0.48,"131,957.00","146,000.00",8.10,"62,434.00",101.87,0.00,1.35,0.32,1.54,"209,852,761,469.00",1.00,1.37,3.60,81.30,3.00,4.46,0.36,5.48,"10,716,322.00",0.52,0.26,0.52,0.17,"8,507,474.00"
331.00,0.24,349.00,,16.47,268.00,107.43,0.01,2.06,0.50,1.12,"1,228,170,370.00",1.07,1.05,13.70,72.40,25.00,,0.57,1.41,"112,003.00",,0.19,0.48,,"40,765.00"
167.00,0.36,"108,889.00","43,000.00",24.56,"16,777.00",142.92,0.04,2.87,0.33,0.79,"76,710,385,880.00",1.02,0.22,22.10,74.10,95.00,1.60,0.56,0.35,"16,604,026.00",0.62,0.11,0.35,0.02,"8,540,945.00"
53.00,0.59,"245,857.00","13,000.00",36.36,"2,996.00",262.95,0.10,4.70,0.26,0.90,"13,590,281,809.00",0.92,0.12,64.90,61.20,576.00,,0.55,0.08,"12,771,246.00",0.62,0.11,0.69,0.04,"4,661,505.00"
70.00,0.58,"36,125.00","4,000.00",35.13,293.00,111.65,0.01,4.48,0.70,,"1,340,389,411.00",1.19,0.03,54.00,58.00,667.00,0.16,0.37,0.13,"1,920,922.00",0.72,0.10,0.46,0.02,"840,922.00"
4.00,0.09,"214,969.00","3,000.00",19.97,"2,384.00",116.19,0.02,2.46,0.84,0.90,"4,280,443,645.00",0.98,0.12,25.10,69.80,169.00,0.98,0.41,0.80,"782,766.00",0.56,,0.31,0.12,"208,912.00"
414.00,0.67,"27,750.00",0.00,24.35,"2,978.00",179.29,0.13,2.94,0.04,0.81,"8,498,981,821.00",1.14,0.01,49.50,63.70,480.00,0.25,0.36,0.23,"11,263,077.00",0.67,,0.43,0.14,"6,328,948.00"
"2,003.00",,0.00,,,,,,,,,,,,,,,,,,836.00,,,,,
89.00,0.29,"112,090.00","23,000.00",21.60,"9,813.00",150.34,0.04,2.46,0.40,0.98,"25,095,395,475.00",0.92,0.26,15.10,75.10,65.00,1.01,0.49,0.31,"9,746,117.00",0.69,0.17,0.39,0.05,"5,626,433.00"
107.00,0.58,"93,028.00","40,000.00",9.60,"45,537.00",121.64,0.03,1.54,0.23,1.18,"160,967,157,504.00",1.01,0.49,3.60,75.80,12.00,2.62,0.29,3.41,"9,769,949.00",0.57,0.23,0.38,0.03,"6,999,582.00"
3.00,0.19,"103,000.00",0.00,12.00,"2,065.00",129.00,0.03,1.71,0.01,1.69,"24,188,035,739.00",1.00,0.72,1.50,82.70,4.00,,0.17,4.08,"361,313.00",0.75,0.23,0.32,0.03,"339,110.00"
464.00,0.60,"3,287,263.00","3,031,000.00",17.86,"2,407,672.00",180.44,0.08,2.22,0.24,0.97,"2,611,000,000,000.00",1.13,0.28,29.90,69.40,145.00,0.30,0.65,0.86,"1,366,417,754.00",0.49,0.11,0.50,0.05,"471,031,528.00"
151.00,0.32,"1,904,569.00","676,000.00",18.07,"563,325.00",151.18,0.03,2.31,0.50,0.63,"1,119,190,780,753.00",1.06,0.36,21.10,71.50,177.00,0.48,0.48,0.43,"270,203,917.00",0.68,0.10,0.30,0.05,"151,509,724.00"
52.00,0.28,"1,648,195.00","563,000.00",18.78,"661,710.00",550.93,0.40,2.14,0.07,0.40,"445,345,282,123.00",1.11,0.68,12.40,76.50,16.00,1.58,0.40,1.58,"82,913,906.00",0.45,0.07,0.45,0.11,"62,509,623.00"
93.00,0.21,"438,317.00","209,000.00",29.08,"190,061.00",119.86,0.00,3.67,0.02,0.61,"234,094,042,939.00",1.09,0.16,22.50,70.50,79.00,1.24,0.77,0.71,"39,309,783.00",0.43,0.02,0.31,0.13,"27,783,368.00"
72.00,0.65,"70,273.00","9,000.00",12.50,"37,711.00",106.58,0.01,1.75,0.11,1.37,"388,698,711,348.00",1.01,0.78,3.10,82.30,5.00,10.79,0.15,3.31,"5,007,069.00",0.62,0.18,0.26,0.05,"3,133,123.00"
400.00,0.25,"20,770.00","178,000.00",20.80,"65,166.00",108.15,0.01,3.09,0.08,1.57,"395,098,666,122.00",1.05,0.63,3.00,82.80,3.00,7.58,0.24,4.62,"9,053,300.00",0.64,0.23,0.25,0.04,"8,374,393.00"
206.00,0.43,"301,340.00","347,000.00",7.30,"320,411.00",110.62,0.01,1.29,0.32,1.61,"2,001,244,392,042.00",1.02,0.62,2.60,82.90,2.00,,0.23,3.98,"60,297,396.00",0.50,0.24,0.59,0.10,"42,651,966.00"
273.00,0.41,"10,991.00","4,000.00",16.10,"8,225.00",162.47,0.04,1.98,0.31,1.11,"16,458,071,068.00",0.91,0.27,12.40,74.40,80.00,1.33,0.24,1.31,"2,948,279.00",0.66,0.27,0.35,0.08,"1,650,594.00"
347.00,0.12,"377,944.00","261,000.00",7.40,"1,135,886.00",105.48,0.01,1.42,0.69,1.06,"5,081,769,542,380.00",0.99,0.63,1.80,84.20,5.00,6.77,0.13,2.41,"126,226,568.00",0.62,0.12,0.47,0.02,"115,782,416.00"
115.00,0.12,"89,342.00","116,000.00",21.98,"25,108.00",125.60,0.01,2.76,0.01,1.10,"43,743,661,972.00",0.82,0.34,13.90,74.40,46.00,1.49,0.25,2.32,"10,101,694.00",0.39,0.15,0.29,0.15,"9,213,048.00"
7.00,0.80,"2,724,900.00","71,000.00",21.77,"247,207.00",182.75,0.05,2.84,0.01,0.42,"180,161,741,180.00",1.04,0.62,8.80,73.20,10.00,0.41,0.39,3.25,"18,513,930.00",0.69,0.12,0.28,0.05,"10,652,915.00"
94.00,0.49,"580,367.00","29,000.00",28.75,"17,910.00",180.51,0.05,3.49,0.08,0.95,"95,503,088,538.00",1.03,0.12,30.60,66.30,342.00,0.25,0.33,0.16,"52,573,973.00",0.75,0.15,0.37,0.03,"14,461,523.00"
147.00,0.42,811.00,,27.89,66.00,99.55,0.01,3.57,0.15,,"194,647,202.00",1.01,,41.20,68.10,92.00,,0.00,0.20,"117,606.00",,0.22,0.33,,"64,489.00"
240.00,0.08,"17,818.00","25,000.00",13.94,"98,734.00",126.60,0.01,2.08,0.00,0.35,"134,761,198,946.00",0.92,0.54,6.70,75.40,12.00,0.95,0.14,2.58,"4,207,083.00",0.74,0.01,0.13,0.02,"4,207,083.00"
34.00,0.55,"199,951.00","21,000.00",27.10,"9,787.00",155.68,0.01,3.30,0.03,0.56,"8,454,619,608.00",1.08,0.41,16.90,71.40,60.00,0.09,0.48,1.88,"6,456,900.00",0.60,0.18,0.29,0.06,"2,362,644.00"
32.00,0.10,"236,800.00","129,000.00",23.55,"17,763.00",135.87,0.03,2.67,0.82,0.93,"18,173,839,128.00",1.02,0.15,37.60,67.60,185.00,0.83,0.45,0.37,"7,169,455.00",0.79,0.13,0.24,0.01,"2,555,552.00"
30.00,0.31,"64,589.00","6,000.00",10.00,"7,004.00",116.86,0.03,1.60,0.54,1.16,"34,117,202,555.00",0.99,0.88,3.30,74.70,19.00,2.80,0.42,3.19,"1,912,789.00",0.61,0.23,0.38,0.07,"1,304,943.00"
667.00,0.64,"10,400.00","80,000.00",17.55,"24,796.00",130.02,0.03,2.09,0.13,0.74,"53,367,042,272.00",0.95,0.26,6.40,78.90,29.00,2.15,0.32,2.10,"6,855,713.00",0.47,0.15,0.32,0.06,"6,084,994.00"
71.00,0.78,"30,355.00","2,000.00",26.81,"2,512.00",155.86,0.05,3.14,0.02,0.70,"2,460,072,444.00",1.21,0.10,65.70,53.70,544.00,0.41,0.17,0.07,"2,125,268.00",0.68,0.32,0.14,0.23,"607,508.00"
53.00,0.28,"111,369.00","2,000.00",33.04,"1,386.00",223.13,0.24,4.32,0.43,0.80,"3,070,518,100.00",0.85,0.12,53.50,63.70,661.00,0.17,0.20,0.04,"4,937,374.00",0.76,0.13,0.46,0.03,"2,548,426.00"
4.00,0.09,"1,759,540.00",0.00,18.83,"50,564.00",125.71,0.03,2.24,0.00,0.11,"52,076,250,948.00",1.09,0.61,10.20,72.70,72.00,1.88,0.37,2.09,"6,777,452.00",0.50,,0.33,0.19,"5,448,597.00"
238.00,0.32,160.00,,9.90,51.00,,,1.44,0.43,1.74,"6,552,858,739.00",1.05,0.36,,83.00,,,,,"38,019.00",,,0.22,,"5,464.00"
43.00,0.47,"65,300.00","34,000.00",10.00,"12,963.00",118.38,0.02,1.63,0.35,1.16,"54,219,315,600.00",1.04,0.72,3.30,75.70,8.00,2.41,0.32,6.35,"2,786,844.00",0.62,0.17,0.43,0.06,"1,891,013.00"
242.00,0.54,"2,586.00","2,000.00",10.30,"8,988.00",115.09,0.02,1.37,0.36,1.19,"71,104,919,108.00",1.02,0.19,1.90,82.10,5.00,13.05,0.11,3.01,"645,397.00",0.59,0.27,0.20,0.05,"565,488.00"
48.00,0.71,"587,041.00","22,000.00",32.66,"3,905.00",184.33,0.06,4.08,0.21,1.11,"14,083,906,357.00",1.43,0.05,38.20,66.70,335.00,0.21,0.22,0.18,"26,969,307.00",0.86,0.10,0.38,0.02,"10,210,849.00"
203.00,0.61,"118,484.00","15,000.00",34.12,"1,298.00",418.34,0.09,4.21,0.33,1.15,"7,666,704,427.00",1.43,0.01,35.30,63.80,349.00,0.12,0.11,0.04,"18,628,747.00",0.77,0.17,0.35,0.06,"3,199,301.00"
99.00,0.26,"329,847.00","136,000.00",16.75,"248,289.00",121.46,0.01,2.00,0.68,0.45,"364,701,517,788.00",1.05,0.45,6.70,76.00,29.00,0.93,0.37,1.51,"32,447,385.00",0.64,0.12,0.39,0.03,"24,475,766.00"
"1,802.00",0.26,298.00,"5,000.00",14.20,"1,445.00",99.70,0.00,1.87,0.03,1.63,"5,729,248,472.00",0.97,0.31,7.40,78.60,53.00,,0.16,4.56,"530,953.00",0.70,0.20,0.30,0.06,"213,645.00"
17.00,0.34,"1,240,192.00","18,000.00",41.54,"3,179.00",108.73,-0.02,5.88,0.04,1.12,"17,510,141,171.00",0.76,0.05,62.00,58.90,562.00,0.23,0.46,0.13,"19,658,031.00",0.71,0.12,0.55,0.07,"8,479,688.00"
"1,380.00",0.32,316.00,"2,000.00",9.20,"1,342.00",113.45,0.02,1.23,0.01,1.36,"14,786,156,563.00",1.05,0.54,6.10,82.30,6.00,5.07,0.37,2.86,"502,653.00",0.57,0.26,0.44,0.03,"475,902.00"
329.00,0.64,181.00,,29.03,143.00,,,4.05,0.70,1.44,"221,278,000.00",0.85,0.24,27.40,65.20,,2.00,0.10,0.42,"58,791.00",,0.18,0.66,,"45,514.00"
5.00,0.39,"1,030,700.00","21,000.00",33.69,"2,739.00",135.02,0.02,4.56,0.00,1.13,"7,593,752,450.00",1.00,0.05,51.50,64.70,766.00,0.53,0.48,0.19,"4,525,696.00",0.46,,0.67,0.10,"2,466,821.00"
626.00,0.42,"2,040.00","3,000.00",10.20,"4,349.00",129.91,0.00,1.41,0.19,1.12,"14,180,444,557.00",1.01,0.41,13.60,74.40,61.00,0.38,0.51,2.53,"1,265,711.00",0.58,0.19,0.22,0.07,"515,980.00"
66.00,0.55,"1,964,375.00","336,000.00",17.60,"486,406.00",141.54,0.04,2.13,0.34,0.73,"1,258,286,717,125.00",1.06,0.40,11.00,75.00,33.00,0.49,0.41,2.38,"126,014,024.00",0.61,0.13,0.55,0.03,"102,626,859.00"
784.00,0.31,702.00,,22.82,143.00,112.10,0.01,3.05,0.92,,"401,932,279.00",0.97,0.14,25.60,67.80,88.00,,0.03,0.18,"113,815.00",,0.25,0.61,,"25,963.00"
123.00,0.74,"33,851.00","7,000.00",10.10,"5,115.00",166.20,0.05,1.26,0.13,0.80,"11,955,435,457.00",0.91,0.40,13.60,71.80,19.00,0.31,0.46,3.21,"2,657,637.00",0.43,0.18,0.39,0.05,"1,135,502.00"
"26,337.00",,2.00,,5.90,,,,,,2.00,"7,184,844,193.00",,,2.60,,,11.72,0.06,6.56,"38,964.00",,,,,"38,964.00"
2.00,0.72,"1,564,116.00","18,000.00",24.13,"25,368.00",195.76,0.07,2.90,0.08,0.72,"13,852,850,259.00",1.04,0.66,14.00,69.70,45.00,0.65,0.39,2.86,"3,225,167.00",0.60,0.17,0.26,0.06,"2,210,626.00"
47.00,0.19,"13,812.00","12,000.00",11.73,"2,017.00",116.32,0.03,1.75,0.62,1.16,"5,494,736,901.00",1.00,0.56,2.30,76.80,6.00,1.23,0.32,2.76,"622,137.00",0.54,,0.22,0.15,"417,765.00"
83.00,0.69,"446,550.00","246,000.00",18.94,"61,276.00",111.07,0.00,2.42,0.13,0.99,"118,725,279,596.00",1.14,0.36,19.20,76.50,70.00,1.60,0.53,0.73,"36,910,560.00",0.45,0.22,0.46,0.09,"22,975,026.00"
40.00,0.64,"799,380.00","11,000.00",37.52,"7,943.00",182.31,0.03,4.85,0.48,0.65,"14,934,159,926.00",1.13,0.07,54.00,60.20,289.00,0.27,0.07,0.08,"30,366,036.00",0.78,0.00,0.36,0.03,"11,092,106.00"
83.00,0.20,"676,578.00","513,000.00",17.55,"25,280.00",168.18,0.09,2.15,0.44,0.54,"76,085,852,617.00",1.12,0.19,36.80,66.90,250.00,0.39,0.74,0.68,"54,045,420.00",0.62,0.05,0.31,0.02,"16,674,093.00"
3.00,0.47,"824,292.00","16,000.00",28.64,"4,228.00",157.97,0.04,3.40,0.08,0.76,"12,366,527,719.00",1.24,0.23,29.00,63.40,195.00,,0.08,0.42,"2,494,530.00",0.60,0.27,0.21,0.20,"1,273,258.00"
541.00,,21.00,,,,,,,,,"133,000,000.00",,,,,,,,,"10,084.00",,,,,
203.00,0.29,"147,181.00","112,000.00",19.89,"9,105.00",188.73,0.06,1.92,0.25,0.91,"30,641,380,604.00",1.42,0.12,26.70,70.50,186.00,0.36,0.60,0.75,"28,608,710.00",0.84,0.21,0.42,0.01,"5,765,513.00"
508.00,0.53,"41,543.00","41,000.00",9.70,"170,780.00",115.91,0.03,1.59,0.11,1.68,"909,070,395,161.00",1.04,0.85,3.30,81.80,5.00,10.29,0.12,3.61,"17,332,850.00",0.64,0.23,0.41,0.03,"15,924,729.00"
18.00,0.41,"268,838.00","9,000.00",11.98,"34,382.00",114.24,0.02,1.71,0.39,1.40,"206,928,765,544.00",1.00,0.82,4.70,81.90,9.00,11.49,0.13,3.59,"4,841,000.00",0.70,0.29,0.35,0.04,"4,258,860.00"
55.00,0.42,"130,370.00","12,000.00",20.64,"5,592.00",162.74,0.05,2.40,0.26,0.91,"12,520,915,291.00",1.21,0.17,15.70,74.30,98.00,0.54,0.36,0.98,"6,545,502.00",0.66,0.16,0.61,0.07,"3,846,137.00"
19.00,0.36,"1,267,000.00","10,000.00",46.08,"2,017.00",109.32,-0.03,6.91,0.01,0.88,"12,928,145,120.00",0.75,0.04,48.00,62.00,509.00,0.29,0.52,0.04,"23,310,715.00",0.72,0.12,0.47,0.00,"3,850,231.00"
226.00,0.78,"923,768.00","215,000.00",37.91,"120,369.00",267.51,0.11,5.39,0.07,0.46,"448,120,428,859.00",0.85,0.10,75.70,54.30,917.00,0.54,0.72,0.38,"200,963,599.00",0.53,0.02,0.35,0.08,"102,806,948.00"
214.00,0.22,"120,538.00","1,469,000.00",13.89,"28,284.00",,,1.90,0.41,0.58,"32,100,000,000.00",1.13,0.27,13.70,72.10,89.00,,,3.67,"25,666,161.00",0.80,,,0.03,"15,947,412.00"
83.00,,"25,713.00",,,,,,,,,"10,220,781,069.00",,,,,,,0.36,,"1,836,713.00",,,,,
15.00,0.03,"323,802.00","23,000.00",10.40,"41,023.00",120.27,0.02,1.56,0.33,1.78,"403,336,363,636.00",1.00,0.82,2.10,82.80,2.00,,0.14,2.92,"5,347,896.00",0.64,0.24,0.36,0.03,"4,418,218.00"
16.00,0.05,"309,500.00","47,000.00",19.19,"63,457.00",113.53,0.00,2.89,0.00,0.45,"76,983,094,928.00",1.03,0.38,9.80,77.60,19.00,4.33,0.06,2.00,"5,266,535.00",0.72,0.03,0.27,0.03,"4,250,777.00"
287.00,0.48,"796,095.00","936,000.00",28.25,"201,150.00",182.32,0.11,3.51,0.02,0.79,"304,400,000,000.00",0.94,0.09,57.20,67.10,140.00,0.69,0.67,0.98,"216,565,318.00",0.53,0.09,0.34,0.04,"79,927,762.00"
39.00,0.11,459.00,,14.00,224.00,118.17,0.01,2.21,0.88,,"283,994,900.00",1.13,0.55,16.60,69.10,,3.00,0.22,1.18,"18,233.00",,0.21,0.77,,"14,491.00"
847.00,,,,,,,,,,,,,,,,,,,,,,,,,
58.00,0.30,"75,420.00","26,000.00",18.98,"10,715.00",122.07,0.00,2.46,0.62,0.74,"66,800,800,000.00",0.94,0.48,13.10,78.30,52.00,1.53,0.31,1.57,"4,246,439.00",0.67,,0.37,0.04,"2,890,084.00"
20.00,0.03,"462,840.00","4,000.00",27.07,"7,536.00",155.99,0.04,3.56,0.74,1.36,"24,969,611,435.00",1.09,0.02,38.00,64.30,145.00,1.16,0.06,0.07,"8,776,109.00",0.47,0.14,0.37,0.02,"1,162,834.00"
18.00,0.55,"406,752.00","27,000.00",20.57,"7,407.00",143.82,0.03,2.43,0.38,1.04,"38,145,288,940.00",1.04,0.35,17.20,74.10,129.00,1.55,0.37,1.35,"7,044,636.00",0.72,0.10,0.35,0.05,"4,359,150.00"
26.00,0.19,"1,285,216.00","158,000.00",17.95,"57,414.00",129.78,0.02,2.25,0.58,0.99,"226,848,050,820.00",1.07,0.71,11.10,76.50,88.00,1.28,0.31,1.27,"32,510,453.00",0.78,0.14,0.37,0.03,"25,390,339.00"
368.00,0.42,"300,000.00","153,000.00",20.55,"122,287.00",129.61,0.03,2.58,0.28,0.86,"376,795,508,680.00",1.08,0.36,22.50,71.10,121.00,1.12,0.54,0.60,"108,116,615.00",0.60,0.14,0.43,0.02,"50,975,903.00"
124.00,0.47,"312,685.00","191,000.00",10.20,"299,037.00",114.11,0.02,1.46,0.31,1.07,"592,164,400,688.00",1.00,0.68,3.80,77.60,2.00,2.93,0.23,2.38,"37,970,874.00",0.57,0.17,0.41,0.03,"22,796,574.00"
111.00,0.40,"92,212.00","52,000.00",8.50,"48,742.00",110.62,0.00,1.38,0.35,1.54,"237,686,075,635.00",1.06,0.64,3.10,81.30,8.00,3.78,0.28,5.12,"10,269,417.00",0.59,0.23,0.40,0.06,"6,753,579.00"
248.00,0.06,"11,586.00","22,000.00",9.54,"103,259.00",115.38,-0.01,1.87,0.00,0.40,"183,466,208,791.00",1.04,0.18,5.80,80.10,9.00,,0.06,2.49,"2,832,067.00",0.87,0.15,0.11,0.00,"2,809,071.00"
84.00,0.59,"238,391.00","126,000.00",9.60,"69,259.00",123.78,0.04,1.71,0.30,1.16,"250,077,444,017.00",0.85,0.49,6.10,75.40,19.00,2.25,0.21,2.98,"19,356,544.00",0.55,0.15,0.20,0.04,"10,468,793.00"
9.00,0.13,"17,098,240.00","1,454,000.00",11.50,"1,732,027.00",180.75,0.05,1.57,0.50,0.59,"1,699,876,578,871.00",1.03,0.82,6.10,72.70,17.00,0.53,0.36,4.01,"144,373,535.00",0.62,0.11,0.46,0.05,"107,683,889.00"
525.00,0.73,"26,338.00","35,000.00",31.70,"1,115.00",151.09,0.03,4.04,0.20,1.17,"10,122,472,590.00",1.33,0.07,27.00,68.70,248.00,,0.26,0.13,"12,626,950.00",0.84,0.14,0.33,0.01,"2,186,104.00"
205.00,0.23,261.00,,12.60,238.00,104.57,-0.01,2.11,0.42,,"1,050,992,593.00",1.09,0.87,9.80,71.30,,3.33,0.57,2.52,"52,823.00",,0.19,0.50,,"16,269.00"
301.00,0.17,616.00,,12.00,414.00,110.13,0.02,1.44,0.33,1.30,"2,122,450,630.00",1.03,0.14,14.90,76.10,117.00,,0.48,0.64,"182,790.00",0.67,0.18,0.35,0.21,"34,280.00"
284.00,0.26,389.00,,14.24,220.00,109.67,0.02,1.89,0.69,,"825,385,185.00",1.13,0.24,14.80,72.40,68.00,1.16,0.21,0.66,"100,455.00",0.66,0.25,0.37,0.19,"58,185.00"
70.00,0.12,"2,831.00",,24.38,246.00,117.56,0.01,3.88,0.60,0.91,"850,655,017.00",1.11,0.08,13.60,73.20,43.00,0.78,0.12,0.34,"202,506.00",0.44,0.26,0.19,0.08,"35,588.00"
566.00,0.17,61.00,,6.80,,110.63,0.01,1.26,0.00,,"1,637,931,034.00",1.08,0.43,1.70,85.40,,,0.18,6.11,"33,860.00",,0.18,0.36,,"32,969.00"
228.00,0.51,964.00,"1,000.00",31.54,121.00,185.09,0.08,4.32,0.56,,"429,016,605.00",1.07,0.13,24.40,70.20,130.00,,0.12,0.05,"215,056.00",0.58,0.15,0.37,0.13,"158,277.00"
16.00,0.81,"2,149,690.00","252,000.00",17.80,"563,449.00",118.40,-0.01,2.32,0.01,0.24,"792,966,838,162.00",1.00,0.68,6.00,75.00,17.00,3.85,0.15,2.61,"34,268,528.00",0.56,0.09,0.16,0.06,"28,807,838.00"
87.00,0.46,"196,722.00","19,000.00",34.52,"10,902.00",109.25,0.02,4.63,0.43,1.14,"23,578,084,052.00",0.81,0.13,31.80,67.70,315.00,0.31,0.44,0.07,"16,296,364.00",0.46,0.16,0.45,0.07,"7,765,706.00"
100.00,0.39,"77,474.00","32,000.00",9.20,"45,221.00",144.00,0.02,1.49,0.31,1.16,"51,409,167,351.00",1.00,0.67,4.80,75.50,12.00,1.57,0.41,3.11,"6,944,975.00",0.55,0.19,0.37,0.13,"3,907,243.00"
