Population_density,Agricultural_Land,Land_Area,Armed_Forces_size,Birth_Rate,Co2_Emissions,CPI,CPI_Change,Fertility_Rate,Forested_Area,Gasoline_Price,GDP,GPEM,GTEE,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Minimum_wage,Out_of_pocket_health_expenditure,Physicians_per_thousand,Population,LFPR,Tax_revenue ,tax_rate,Unemployment_rate,Urban_population
273.00,0.11,"5,128.00","4,000.00",12.94,"43,868.00",141.75,0.01,1.73,0.46,0.54,"24,100,202,834.00",1.06,0.12,16.40,73.40,67.00,2.25,0.37,4.17,"1,394,973.00",0.60,0.20,0.41,0.03,"741,944.00"
76.00,0.65,"163,610.00","48,000.00",17.56,"29,937.00",155.33,0.07,2.20,0.07,0.73,"38,797,709,924.00",1.15,0.32,14.60,76.50,43.00,0.47,0.40,1.30,"11,694,719.00",0.46,0.21,0.61,0.16,"8,099,061.00"
110.00,0.50,"783,562.00","512,000.00",16.03,"372,725.00",234.44,0.15,2.07,0.15,1.42,"754,411,708,203.00",0.93,0.24,9.10,77.40,17.00,3.45,0.17,1.85,"83,429,615.00",0.53,0.18,0.42,0.13,"63,097,818.00"
13.00,0.72,"488,100.00","42,000.00",23.83,"70,630.00",,,2.79,0.09,0.29,"40,761,142,857.00",0.88,0.08,39.30,68.10,7.00,0.88,0.71,2.22,"5,942,089.00",0.65,,,0.04,"3,092,738.00"
393.00,0.60,26.00,,,11.00,,,,0.33,,"47,271,463.00",0.86,,20.60,,,,0.01,0.92,"11,646.00",,,,,"7,362.00"
229.00,0.72,"241,038.00","46,000.00",38.14,"5,680.00",173.87,0.03,4.96,0.10,0.94,"34,387,229,486.00",1.03,0.05,33.80,63.00,375.00,0.01,0.41,0.17,"44,269,594.00",0.70,0.12,0.34,0.02,"10,784,516.00"
75.00,0.72,"603,550.00","297,000.00",8.70,"202,250.00",281.66,0.08,1.30,0.17,0.83,"153,781,069,118.00",0.99,0.83,7.50,71.60,19.00,0.84,0.48,2.99,"44,385,155.00",0.54,0.20,0.45,0.09,"30,835,699.00"
118.00,0.06,"83,600.00","63,000.00",10.33,"206,324.00",114.52,-0.02,1.41,0.05,0.49,"421,142,267,938.00",1.08,0.37,6.50,77.80,3.00,,0.18,2.53,"9,770,529.00",0.82,0.00,0.16,0.02,"8,479,744.00"
281.00,0.72,"243,610.00","148,000.00",11.00,"379,025.00",119.62,0.02,1.68,0.13,1.46,"2,827,113,184,696.00",1.01,0.60,3.60,81.30,7.00,10.13,0.15,2.81,"66,834,405.00",0.63,0.26,0.31,0.04,"55,908,316.00"
36.00,0.44,"9,833,517.00","1,359,000.00",11.60,"5,006,302.00",117.24,0.08,1.73,0.34,0.71,"21,427,700,000,000.00",1.02,0.88,5.60,78.50,19.00,7.25,0.11,2.61,"328,239,523.00",0.62,0.10,0.37,0.15,"270,663,028.00"
20.00,0.83,"176,215.00","22,000.00",13.86,"6,766.00",202.92,0.08,1.97,0.11,1.50,"56,045,912,952.00",1.09,0.63,6.40,77.80,17.00,1.66,0.16,5.05,"3,461,734.00",0.64,0.20,0.42,0.09,"3,303,394.00"
79.00,0.63,"447,400.00","68,000.00",23.30,"91,811.00",,,2.42,0.08,1.03,"57,921,286,440.00",1.04,0.10,19.10,71.60,29.00,0.24,0.43,2.37,"33,580,650.00",0.65,0.15,0.32,0.06,"16,935,729.00"
25.00,0.15,"12,189.00",,29.60,147.00,117.13,0.03,3.78,0.36,1.31,"917,058,851.00",1.09,0.05,22.30,70.30,72.00,1.56,0.09,0.17,"299,882.00",0.70,0.18,0.09,0.04,"76,152.00"
32.00,0.25,"912,050.00","343,000.00",17.88,"164,175.00","2,740.27",2.55,2.27,0.53,0.00,"482,359,318,768.00",0.97,0.79,21.40,72.10,125.00,0.01,0.46,1.92,"28,515,829.00",0.60,,0.73,0.09,"25,162,368.00"
314.00,0.39,"331,210.00","522,000.00",16.75,"192,668.00",163.52,0.03,2.05,0.48,0.80,"261,921,244,843.00",1.11,0.29,16.50,75.30,43.00,0.73,0.44,0.82,"96,462,106.00",0.77,0.19,0.38,0.02,"35,332,140.00"
56.00,0.45,"527,968.00","40,000.00",30.45,"10,609.00",157.58,0.08,3.79,0.01,0.92,"26,914,402,224.00",0.94,0.10,42.90,66.10,164.00,,0.81,0.31,"29,161,922.00",0.38,,0.27,0.13,"10,869,523.00"
25.00,0.32,"752,618.00","16,000.00",36.19,"5,141.00",212.31,0.09,4.63,0.65,1.40,"23,064,722,446.00",0.99,0.04,40.40,63.50,213.00,0.24,0.28,1.19,"17,861,030.00",0.75,0.16,0.16,0.11,"7,871,713.00"
38.00,0.42,"390,757.00","51,000.00",30.68,"10,983.00",105.51,0.01,3.62,0.36,1.34,"21,440,758,800.00",1.10,0.10,33.90,61.20,458.00,,0.26,0.21,"14,645,468.00",0.83,0.21,0.32,0.05,"4,717,305.00"
